window,subset,n_features_restricted,score,C_observed,B_expected,q_hat,n_cells,claims_covered,window_total,pvalue,sig_raw,sig_bonferroni,thin_occupancy
2022-Q1,"{'peril_type': ['Severe Storm - Tornado (TD)', 'Severe Storm - Winter Storm (WS)', 'Tropical Cyclone - Wind (TC)'], 'syndicate': [2987.0], 'group_class': ['COMMERCIAL NA OPEN MARKET'], 'placing_basis_group': ['OPEN MARKET'], 'leader_status': ['LEAD'], 'risk_code': ['P2'], 'loss_census_division': ['East North Central', 'East South Central', 'Middle Atlantic', 'Mountain', 'West North Central', 'West South Central']}",7,85.37021504001706,60.0,5.8666589241262646,10.227286224746045,17,60,284,0.057,False,False,False
2022-Q2,"{'peril_type': ['Severe Storm - Tornado (TD)'], 'syndicate': [1618.0], 'group_class': ['COMMERCIAL NA OPEN MARKET'], 'placing_basis_group': ['OPEN MARKET - FACULTATIVE REINSURANCE'], 'leader_status': ['FOLLOW'], 'new_renewal': ['New'], 'risk_code': ['P6'], 'loss_census_division': ['East South Central']}",8,195.62947616188438,24.0,0.0025464163978903,9425.009994392098,1,24,398,0.007,True,False,False
2022-Q3,"{'peril_type': ['Severe Storm - Tornado (TD)', 'Tropical Cyclone - Wind (TC)'], 'group_class': ['COMMERCIAL NA OPEN MARKET'], 'placing_basis_group': ['OPEN MARKET', 'OPEN MARKET - DIRECT'], 'leader_status': ['FOLLOW'], 'new_renewal': ['New'], 'risk_code': ['P2'], 'loss_census_division': ['Middle Atlantic', 'West South Central']}",7,123.66975516220131,50.0,1.6010321999041723,31.229852843055053,5,50,204,0.004,True,True,True
2022-Q4,"{'peril_type': ['Non-catastrophe - Accident (NC-A)', 'Non-catastrophe - Fire (NC-F)', 'Other Perils - Inland Flood (IF)', 'Tropical Cyclone - Precipitation Flood (PF)', 'Tropical Cyclone - Wind (TC)'], 'syndicate': [1618.0], 'group_class': ['COMMERCIAL NA OPEN MARKET'], 'placing_basis_group': ['OPEN MARKET - DIRECT'], 'leader_status': ['FOLLOW'], 'new_renewal': ['New'], 'risk_code': ['P2'], 'loss_census_division': ['Middle Atlantic', 'New England', 'South Atlantic', 'West North Central', 'West South Central']}",8,29.891479108809637,24.0,2.862990815547075,8.382842120788975,18,24,178,0.299,False,False,True
2023-Q1,"{'peril_type': ['Non-catastrophe - Accident (NC-A)', 'Non-catastrophe - Fire (NC-F)', 'Severe Storm - Severe Thunderstorm (ST)', 'Severe Storm - Tornado (TD)', 'Severe Storm - Winter Storm (WS)', 'Tropical Cyclone - Precipitation Flood (PF)', 'Tropical Cyclone - Wind (TC)'], 'group_class': ['COMMERCIAL NA OPEN MARKET'], 'placing_basis_group': ['OPEN MARKET', 'OPEN MARKET - DIRECT', 'OPEN MARKET - FACULTATIVE REINSURANCE'], 'leader_status': ['FOLLOW'], 'new_renewal': ['New'], 'risk_code': ['P2'], 'loss_census_division': ['East North Central', 'East South Central', 'Middle Atlantic', 'New England', 'West North Central', 'West South Central']}",7,96.88135333538978,98.0,15.754807980580887,6.220323352769082,60,98,444,0.139,False,False,False
2023-Q2,"{'peril_type': ['Non-catastrophe - Fire (NC-F)', 'Other Perils - Inland Flood (IF)', 'Severe Storm - Hail (HL)', 'Severe Storm - Tornado (TD)', 'Severe Storm - Winter Storm (WS)', 'Tropical Cyclone - Storm Surge (SU)', 'Tropical Cyclone - Wind (TC)'], 'syndicate': [1618.0], 'group_class': ['COMMERCIAL NA OPEN MARKET'], 'placing_basis_group': ['OPEN MARKET - DIRECT', 'OPEN MARKET - FACULTATIVE REINSURANCE'], 'leader_status': ['FOLLOW'], 'new_renewal': ['New'], 'risk_code': ['P2'], 'loss_census_division': ['Middle Atlantic', 'New England', 'South Atlantic', 'West North Central', 'West South Central']}",8,361.49367894791817,183.0,9.85483726778521,18.569560818443396,35,183,452,0.001,True,True,False
2023-Q3,"{'peril_type': ['Non-catastrophe - Other (NC-O)', 'Severe Storm - Tornado (TD)', 'Severe Storm - Winter Storm (WS)', 'Tropical Cyclone - Precipitation Flood (PF)', 'Tropical Cyclone - Storm Surge (SU)'], 'syndicate': [1618.0], 'group_class': ['COMMERCIAL NA OPEN MARKET'], 'placing_basis_group': ['OPEN MARKET - DIRECT', 'OPEN MARKET - FACULTATIVE REINSURANCE'], 'leader_status': ['FOLLOW'], 'new_renewal': ['New'], 'risk_code': ['P2', 'P6'], 'loss_census_division': ['East North Central', 'East South Central', 'New England', 'Pacific', 'South Atlantic', 'West North Central', 'West South Central']}",8,337.6423807460554,154.0,6.601773117812399,23.327066418639713,37,154,461,0.001,True,True,False
2023-Q4,"{'peril_type': ['Non-catastrophe - Fire (NC-F)', 'Non-catastrophe - Other (NC-O)', 'Non-catastrophe - Weather (NC-W)', 'Severe Storm - Tornado (TD)', 'Severe Storm - Winter Storm (WS)', 'Tropical Cyclone - Precipitation Flood (PF)'], 'syndicate': [1618.0], 'group_class': ['COMMERCIAL NA OPEN MARKET'], 'placing_basis_group': ['OPEN MARKET - DIRECT', 'OPEN MARKET - FACULTATIVE REINSURANCE'], 'leader_status': ['FOLLOW'], 'new_renewal': ['New'], 'risk_code': ['P2'], 'loss_census_division': ['East North Central', 'East South Central', 'Mountain', 'New England', 'Pacific', 'South Atlantic', 'West North Central', 'West South Central']}",8,166.83194494138823,94.0,6.266055314968348,15.001463484602965,43,94,378,0.01,True,False,False
2024-Q1,"{'peril_type': ['Non-catastrophe - Fire (NC-F)', 'Non-catastrophe - Mechanical Failure (NC-M)', 'Non-catastrophe - Weather (NC-W)', 'Other Perils - Coastal Flood (CF)', 'Other Perils - Inland Flood (IF)', 'Severe Storm - Hail (HL)', 'Severe Storm - Severe Thunderstorm (ST)', 'Severe Storm - Tornado (TD)', 'Severe Storm - Winter Storm (WS)'], 'syndicate': [1618.0], 'group_class': ['COMMERCIAL NA OPEN MARKET'], 'placing_basis_group': ['OPEN MARKET - DIRECT', 'OPEN MARKET - FACULTATIVE REINSURANCE'], 'leader_status': ['FOLLOW'], 'risk_code': ['P2', 'P6'], 'loss_census_division': ['East North Central', 'East South Central', 'Middle Atlantic', 'Mountain', 'New England', 'West North Central', 'West South Central']}",7,290.4521827777165,328.0,59.71232384878393,5.493003434778897,141,328,645,0.01,True,False,False
2024-Q2,"{'peril_type': ['Severe Storm - Tornado (TD)'], 'syndicate': [2987.0], 'group_class': ['COMMERCIAL NA OPEN MARKET'], 'placing_basis_group': ['OPEN MARKET'], 'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal'], 'risk_code': ['P2'], 'loss_census_division': ['West North Central']}",8,19.125066703693463,8.0,0.2790655430568538,28.66710061145086,1,8,578,0.832,False,False,False
2024-Q3,"{'peril_type': ['Non-catastrophe - Weather (NC-W)', 'Other Perils - Inland Flood (IF)', 'Severe Storm - Severe Thunderstorm (ST)', 'Severe Storm - Tornado (TD)', 'Severe Storm - Winter Storm (WS)'], 'syndicate': [1618.0], 'group_class': ['COMMERCIAL NA OPEN MARKET'], 'placing_basis_group': ['OPEN MARKET - DIRECT', 'OPEN MARKET - FACULTATIVE REINSURANCE'], 'leader_status': ['FOLLOW'], 'new_renewal': ['New'], 'risk_code': ['P2', 'P6'], 'loss_census_division': ['East North Central', 'East South Central', 'Middle Atlantic', 'Mountain', 'Pacific', 'South Atlantic', 'West North Central', 'West South Central']}",8,369.8798950569143,206.0,13.430658897225532,15.33804123657365,59,206,793,0.004,True,True,False
2024-Q4,"{'peril_type': ['Severe Storm - Severe Thunderstorm (ST)'], 'syndicate': [1618.0], 'group_class': ['COMMERCIAL NA OPEN MARKET'], 'placing_basis_group': ['OPEN MARKET - DIRECT'], 'leader_status': ['FOLLOW'], 'new_renewal': ['New'], 'risk_code': ['P2'], 'loss_census_division': ['Pacific']}",8,809.498561048123,178.0,0.6962477841521296,255.65610986721234,1,178,596,0.001,True,True,False
