peril_type,syndicate,group_class,placing_basis_group,leader_status,new_renewal,risk_code,loss_census_division,total_test_observed,unseen_features
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,East South Central,39,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,South Atlantic,37,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Tropical Cyclone - Wind (TC),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,South Atlantic,32,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,West South Central,28,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,West South Central,27,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,Mountain,23,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,West North Central,22,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Tropical Cyclone - Precipitation Flood (PF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Pacific,22,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,West South Central,13,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,East South Central,8,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,West South Central,8,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,East South Central,6,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,West South Central,6,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,South Atlantic,6,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,Pacific,5,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,Middle Atlantic,3,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Pipeburst (NC-P),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Pacific,3,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Pipeburst (NC-P),2987.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET,FOLLOW,Renewal,TO,Pacific,3,risk_code=TO
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,South Atlantic,3,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,West South Central,3,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,West South Central,3,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,West South Central,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,East North Central,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Middle Atlantic,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,East South Central,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Middle Atlantic,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,South Atlantic,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,West South Central,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Pipeburst (NC-P),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,West South Central,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Accident (NC-A),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,West South Central,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Middle Atlantic,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Mountain,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,West South Central,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,West North Central,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,Mountain,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,Mountain,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,East North Central,2,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL WW,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P7,West South Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Pacific,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Pacific,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Accident (NC-A),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,Pacific,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Weather (NC-W),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Pacific,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,Middle Atlantic,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Theft (NC-T),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Pacific,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,South Atlantic,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,Pacific,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,East South Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Pipeburst (NC-P),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,TO,West South Central,1,risk_code=TO
Non-catastrophe - Pipeburst (NC-P),2987.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET,FOLLOW,Renewal,TO,West North Central,1,risk_code=TO
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,South Atlantic,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Pipeburst (NC-P),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,TO,New England,1,risk_code=TO
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,Renewal,PG,New England,1,risk_code=PG
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL WW,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P3,West North Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Earthquake - Liquefaction (LQ),2987.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET,LEAD,Renewal,P2,Pacific,1,peril_type=Earthquake - Liquefaction (LQ)
Non-catastrophe - Mechanical Failure (NC-M),1618.0,COMMERCIAL WW,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P3,East North Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,West North Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,East North Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Pipeburst (NC-P),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,Pacific,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,East South Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Mountain,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,West North Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,Mountain,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Other (NC-O),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Middle Atlantic,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Accident (NC-A),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,East North Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Accident (NC-A),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,East North Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Other Perils - Wildfire/Bushfire (WF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P6,Pacific,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,New England,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Accident (NC-A),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,South Atlantic,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P6,West South Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,South Atlantic,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Pacific,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),2987.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET,LEAD,Renewal,PB,East North Central,1,risk_code=PB
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,East South Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Vandalism (NC-V),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,East North Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,Pacific,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Mountain,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Tropical Cyclone - Wind (TC),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,South Atlantic,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Other (NC-O),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,East North Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Weather (NC-W),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,South Atlantic,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,East South Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Accident (NC-A),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,East North Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,West South Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Vandalism (NC-V),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,West South Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Accident (NC-A),1618.0,COMMERCIAL WW,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P3,Mountain,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
